Account.Balance,Duration.of.Credit.Month,Payment.Status.of.Previous.Credit,Purpose,Credit.Amount,Value.Savings.Stocks,Length.of.current.employment,Instalment.per.cent,Most.valuable.available.asset,Age.years,Type.of.apartment,No.of.Credits.at.this.Bank,Creidt__Creditworthy,Creidt__Non-Creditworthy,Data
No Account,21,Paid Up,Home Related,2767,< ï¿½1,4-7 yrs,4,3,61,1,More than 1,0.688,0.312,TRUE
No Account,30,Paid Up,Used car,3441,< ï¿½1,< 1yr,2,3,21,1,1,0.646,0.354,TRUE
Some Balance,18,Paid Up,Home Related,6761,ý100-ý1000,< 1yr,2,3,68,1,More than 1,0.43,0.57,FALSE
No Account,54,Some Problems,Home Related,15945,None,< 1yr,3,4,58,1,1,0.188,0.812,FALSE
No Account,24,Paid Up,Used car,3234,None,< 1yr,4,1,23,1,1,0.664,0.336,TRUE
No Account,15,Paid Up,Home Related,802,None,4-7 yrs,4,3,37,2,1,0.404,0.596,FALSE
No Account,21,Some Problems,Home Related,1647,ý100-ý1000,< 1yr,4,2,40,2,More than 1,0.308,0.692,FALSE
No Account,27,Some Problems,Home Related,8318,None,4-7 yrs,2,4,42,3,More than 1,0.332,0.668,FALSE
No Account,6,Paid Up,Home Related,448,None,< 1yr,4,2,23,2,1,0.694,0.306,TRUE
No Account,30,Paid Up,Home Related,11998,None,< 1yr,1,4,34,2,1,0.358,0.642,FALSE
No Account,12,Paid Up,Used car,2762,ý100-ý1000,4-7 yrs,1,2,25,2,1,0.842,0.158,TRUE
No Account,12,Paid Up,New car,3386,None,4-7 yrs,3,4,35,3,1,0.84,0.16,TRUE
No Account,24,Paid Up,Home Related,2039,None,< 1yr,1,2,22,2,1,0.576,0.424,TRUE
No Account,18,Paid Up,Home Related,1882,None,< 1yr,4,3,25,1,More than 1,0.35,0.65,FALSE
No Account,48,Paid Up,Home Related,6999,None,1-4 yrs,1,1,34,2,More than 1,0.56,0.44,TRUE
No Account,18,Paid Up,Home Related,976,None,< 1yr,1,3,23,2,1,0.49,0.51,FALSE
No Account,24,Paid Up,Home Related,2718,None,< 1yr,3,2,20,1,1,0.502,0.498,TRUE
No Account,18,Paid Up,Home Related,750,None,< 1yr,4,1,27,2,1,0.692,0.308,TRUE
No Account,18,No Problems (in this bank),Home Related,3966,None,4-7 yrs,1,1,33,1,More than 1,0.652,0.348,TRUE
No Account,12,Some Problems,Home Related,6199,None,< 1yr,4,2,28,1,More than 1,0.422,0.578,FALSE
No Account,24,Paid Up,Home Related,1987,None,< 1yr,2,1,21,1,1,0.462,0.538,FALSE
No Account,24,Paid Up,Home Related,2303,None,4-7 yrs,4,1,45,2,1,0.746,0.254,TRUE
No Account,30,Paid Up,Used car,6350,ý100-ý1000,4-7 yrs,4,2,31,2,1,0.626,0.374,TRUE
